Rank,Title,Score,Picture
68,Bungou Stray Dogs 5th Season,8.66,https://cdn.myanimelist.net/r/50x70/images/anime/1161/136691.jpg?s=7ede85a9ff76ae61cacf9b3320ccc512
69,Howl no Ugoku Shiro,8.66,https://cdn.myanimelist.net/r/50x70/images/anime/1470/138723.jpg?s=d13efbbaed502aeb220700a4015f287a
70,Mononoke Hime,8.66,https://cdn.myanimelist.net/r/50x70/images/anime/7/75919.jpg?s=0d877ed9aa60cc49fdb128a2f68386e2
71,Mushishi,8.66,https://cdn.myanimelist.net/r/50x70/images/anime/2/73862.jpg?s=d976f75f480430a0c9fde4455696131d
72,Made in Abyss,8.65,https://cdn.myanimelist.net/r/50x70/images/anime/6/86733.jpg?s=56ac623880ec87f3a0197e0391bc12c3
73,Made in Abyss: Retsujitsu no Ougonkyou,8.64,https://cdn.myanimelist.net/r/50x70/images/anime/1864/122519.jpg?s=17612a9ecb307994db4ced0a85774a37
74,Natsume Yuujinchou Shi,8.64,https://cdn.myanimelist.net/r/50x70/images/anime/3/37449.jpg?s=2bb045b3120e6a3a23257bb39689ae30
75,Shigatsu wa Kimi no Uso,8.64,https://cdn.myanimelist.net/r/50x70/images/anime/3/67177.jpg?s=bc267f764bffe825e1e8d60f7185a2e9
76,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.63,https://cdn.myanimelist.net/r/50x70/images/anime/1764/106659.jpg?s=aab19d0f19e345e223dc26542ac3a28f
77,Haikyuu!! Second Season,8.63,https://cdn.myanimelist.net/r/50x70/images/anime/9/76662.jpg?s=06ccfffc7b27ac5532d268b9934a224a
78,Tengen Toppa Gurren Lagann,8.63,https://cdn.myanimelist.net/r/50x70/images/anime/4/5123.jpg?s=15bb64e0c8b13acfa5d0761308b66f59
79,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1502/110723.jpg?s=371a6b383817649bb1d3468f03522f66
80,Natsume Yuujinchou Roku,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/6/84416.jpg?s=931f8a6bfc42adf9257eeb7641bad75e
81,Ninja Kamui,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1142/141351.jpg?s=e7085145786065ca564a4a2acc5575aa
82,Ping Pong the Animation,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/10/58041.jpg?s=fbfd98389b5a6f1a27979446e3f07abe
83,Shingeki no Kyojin Season 3,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1173/92110.jpg?s=410d006fea0608544e9861a6f261c692
